Apple [ˈæpəl] - Яблоко
Dog [dɔɡ] - Собака
Cat [kæt] - Кошка
House [haʊs] - Дом
Car [kɑr] - Машина
Book [bʊk] - Книга
Sun [sʌn] - Солнце
Moon [mun] - Луна
Water [ˈwɔtər] - Вода
Fire [faɪr] - Огонь
Table [ˈteɪbəl] - Стол
Chair [tʃɛr] - Стул
Computer [kəmˈpjuːtər] - Компьютер
Phone [foʊn] - Телефон
Friend [frɛnd] - Друг
Family [ˈfæməli] - Семья
Love [lʌv] - Любовь
Time [taɪm] - Время
Money [ˈmʌni] - Деньги
School [skul] - Школа
Doctor [ˈdɑktər] - Врач
Hospital [ˈhɑːspɪtl] - Больница
Music [ˈmjuzɪk] - Музыка
Movie [ˈmuːvi] - Фильм
Beach [biːtʃ] - Пляж
Mountain [ˈmaʊntən] - Гора
Forest [ˈfɔrɪst] - Лес
Flower [ˈflaʊər] - Цветок
Rain [reɪn] - Дождь
Snow [snoʊ] - Снег
Wind [wɪnd] - Ветер
Sea [siː] - Море
River [ˈrɪvər] - Река
Star [stɑːr] - Звезда
Sky [skaɪ] - Небо
Earth [ɜːrθ] - Земля
Air [ɛr] - Воздух
Food [fuːd] - Еда
Drink [drɪŋk] - Напиток
Sleep [sliːp] - Сон
Wake [weɪk] - Будиться
Read [riːd] - Читать
Write [raɪt] - Писать
Listen [ˈlɪsn] - Слушать
Speak [spiːk] - Говорить
Sing [sɪŋ] - Петь
Dance [dæns] - Танцевать
Run [rʌn] - Бегать
Walk [wɔːk] - Ходить
Jump [dʒʌmp] - Прыгать
Swim [swɪm] - Плавать
Drive [draɪv] - Водить (машины)
Fly [flaɪ] - Летать
Eat [iːt] - Есть
Drink [drɪŋk] - Пить
Sleep [sliːp] - Спать
Dream [driːm] - Мечтать
Think [θɪŋk] - Думать
See [siː] - Видеть
Hear [hɪr] - Слышать
Touch [tʌtʃ] - Касаться
Smell [smɛl] - Пахнуть
Taste [teɪst] - Пробовать
Laugh [læf] - Смеяться
Cry [kraɪ] - Плакать
Smile [smaɪl] - Улыбаться
Sing [sɪŋ] - Петь
Dance [dæns] - Танцевать
Talk [tɔːk] - Разговаривать
Walk [wɔːk] - Ходить
Run [rʌn] - Бегать
Jump [dʒʌmp] - Прыгать
Climb [klaɪm] - Забираться
Play [pleɪ] - Играть
Learn [lɜːrn] - Учиться
Teach [tiːʧ] - Учить
Read [riːd] - Читать
Write [raɪt] - Писать
Draw [drɔː] - Рисовать
Paint [peɪnt] - Красить
Cook [kʊk] - Готовить
Bake [beɪk] - Выпекать
Clean [kliːn] - Чистить
Wash [wɑːʃ] - Мыть
Shower [ˈʃaʊər] - Душ
Brush [brʌʃ] - Чистить (зубы)
Comb [koʊm] - Расчесывать
Cut [kʌt] - Резать
Sew [soʊ] - Шить
Tie [taɪ] - Завязывать
Wear [wɛr] - Носить (одежду)
Take [teɪk] - Брать
Give [ɡɪv] - Давать
Receive [rɪˈsiːv] - Получать
Open [ˈoʊpən] - Открывать
Close [kloʊz] - Закрывать
Push [pʊʃ] - Толкать
Pull [pʊl] - Тянуть
Lift [lɪft] - Поднимать
Drop [drɒp] - Отпускать
Look [lʊk] - Смотреть
Search [sɜːrtʃ] - Искать
Find [faɪnd] - Находить
Lose [luːz] - Терять
Win [wɪn] - Выигрывать
Fail [feɪl] - Провалиться
Succeed [səkˈsiːd] - Достигать успеха
Create [kriːˈeɪt] - Создавать
Destroy [dɪˈstrɔɪ] - Уничтожать
Build [bɪld] - Строить
Break [breɪk] - Ломать
Fix [fɪks] - Чинить
Help [hɛlp] - Помогать
Hurt [hɜːrt] - Ранить
Protect [prəˈtɛkt] - Защищать
Attack [əˈtæk] - Атаковать
Defend [dɪˈfɛnd] - Защищать
Drive [draɪv] - Водить (транспорт)
Ride [raɪd] - Кататься
Walk [wɔːk] - Гулять
Run [rʌn] - Бегать
Swim [swɪm] - Плавать
Fly [flaɪ] - Летать
Crawl [krɔːl] - Ползать
Jump [dʒʌmp] - Прыгать
Play [pleɪ] - Играть
Win [wɪn] - Побеждать
Lose [luːz] - Проигрывать
Score [skɔːr] - Счет (в спорте)
Compete [kəmˈpiːt] - Соревноваться
Exercise [ˈɛksərsaɪz] - Упражнение
Stretch [strɛʧ] - Растягивать
Flex [flɛks] - Сгибать
Bend [bɛnd] - Гнуть
Twist [twɪst] - Вращать
Lift [lɪft] - Поднимать
Push [pʊʃ] - Толкать
Pull [pʊl] - Тянуть
